"School.Year","District.Name","Category","X4.Year.Graduation.Rate","Still.Enrolled","Non.Completers..Certificate.Of.Attendance.","Other","Column.8"
2011,"Bolton School District","Non-Hispanic",94.5,0,0,5.5,NA
2011,"Bolton School District","American Indian",NA,NA,NA,NA,NA
2011,"Bolton School District","Black",NA,NA,NA,NA,NA
2011,"Bolton School District","White",95.6,0,0,4.4,NA
2011,"Bolton School District","Male",92.3,0,0,7.7,NA
2011,"Bolton School District","Female",95.8,0,0,4.2,NA
2011,"Bolton School District","Non-ELL",94.6,0,0,5.4,NA
2011,"Bolton School District","Eligible For Lunch",71.4,0,0,28.6,NA
2011,"Bolton School District","Not Eligible For Lunch",97,0,0,3,NA
2011,"Bolton School District","Special Education",NA,NA,NA,NA,NA
2011,"Bolton School District","Non-Special Education",94.2,0,0,5.8,NA
2011,"Canton School District","Hispanic",NA,NA,NA,NA,NA
2011,"Canton School District","Non-Hispanic",94,3.4,0,2.6,NA
2011,"Canton School District","Asian",NA,NA,NA,NA,NA
2011,"Canton School District","Black",NA,NA,NA,NA,NA
2011,"Canton School District","White",93.7,3.6,0,2.7,NA
2011,"Canton School District","Male",93.8,3.1,0,3.1,NA
2011,"Canton School District","Female",94.6,3.6,0,1.8,NA
2011,"Canton School District","ELL",NA,NA,NA,NA,NA
2011,"Canton School District","Non-ELL",94.1,3.4,0,2.5,NA
2011,"Canton School District","Eligible For Lunch",NA,NA,NA,NA,NA
2011,"Canton School District","Not Eligible For Lunch",94.1,3.4,0,2.5,NA
2011,"Canton School District","Special Education",82.4,17.6,0,0,NA
2011,"Canton School District","Non-Special Education",96.1,1,0,2.9,NA
2011,"East Granby School District","Hispanic",NA,NA,NA,NA,NA
2011,"East Granby School District","Non-Hispanic",96,1.3,0,2.7,NA
2011,"East Granby School District","Asian",NA,NA,NA,NA,NA
2011,"East Granby School District","Black",NA,NA,NA,NA,NA
2011,"East Granby School District","White",95.8,1.4,0,2.8,NA
2011,"East Granby School District","Male",94.6,2.7,0,2.7,NA
2011,"East Granby School District","Female",97.4,0,0,2.6,NA
2011,"East Granby School District","Non-ELL",96.1,1.3,0,2.6,NA
2011,"East Granby School District","Not Eligible For Lunch",96.1,1.3,0,2.6,NA
2011,"East Granby School District","Special Education",85.7,0,0,14.3,NA
2011,"East Granby School District","Non-Special Education",97.1,1.4,0,1.4,NA
2011,"East Hartford School District","Hispanic",74.3,11.8,0,13.9,NA
2011,"East Hartford School District","Non-Hispanic",82,7.3,0,10.7,NA
2011,"East Hartford School District","American Indian",NA,NA,NA,NA,NA
2011,"East Hartford School District","Asian",96.3,0,0,3.7,NA
2011,"East Hartford School District","Black",77.6,9.6,0,12.8,NA
2011,"East Hartford School District","White",85.7,5.6,0,8.7,NA
2011,"East Hartford School District","Male",74.7,12.7,0,12.7,NA
2011,"East Hartford School District","Female",84.3,4.9,0,10.8,NA
2011,"East Hartford School District","ELL",76.5,17.6,0,5.9,NA
2011,"East Hartford School District","Non-ELL",79.8,8.2,0,12.1,NA
2011,"East Hartford School District","Eligible For Lunch",74.5,12.5,0,13.1,NA
2011,"East Hartford School District","Not Eligible For Lunch",85.6,4.3,0,10.1,NA
2011,"East Hartford School District","Special Education",61.3,22.5,0,16.3,NA
2011,"East Hartford School District","Non-Special Education",82.4,6.6,0,11,NA
2011,"East Windsor School District","Hispanic",NA,NA,NA,NA,NA
2011,"East Windsor School District","Non-Hispanic",84.3,7.9,0,7.9,NA
2011,"East Windsor School District","Asian",NA,NA,NA,NA,NA
2011,"East Windsor School District","Black",80,6.7,0,13.3,NA
2011,"East Windsor School District","White",84.9,8.2,0,6.8,NA
2011,"East Windsor School District","Male",83.3,6.3,0,10.4,NA
2011,"East Windsor School District","Female",80,11.1,0,8.9,NA
2011,"East Windsor School District","ELL",NA,NA,NA,NA,NA
2011,"East Windsor School District","Non-ELL",82.6,7.6,0,9.8,NA
2011,"East Windsor School District","Eligible For Lunch",69,17.2,0,13.8,NA
2011,"East Windsor School District","Not Eligible For Lunch",87.5,4.7,0,7.8,NA
2011,"East Windsor School District","Special Education",83.3,16.7,0,0,NA
2011,"East Windsor School District","Non-Special Education",81.5,7.4,0,11.1,NA
2011,"Ellington School District","Hispanic",NA,NA,NA,NA,NA
2011,"Ellington School District","Non-Hispanic",95,1.7,0,3.4,NA
2011,"Ellington School District","American Indian",NA,NA,NA,NA,NA
2011,"Ellington School District","Asian",NA,NA,NA,NA,NA
2011,"Ellington School District","Black",NA,NA,NA,NA,NA
2011,"Ellington School District","White",94.7,1.8,0,3.5,NA
2011,"Ellington School District","Male",89.3,4.8,0,6,NA
2011,"Ellington School District","Female",99,0,0,1,NA
2011,"Ellington School District","ELL",NA,NA,NA,NA,NA
2011,"Ellington School District","Non-ELL",94.4,2.2,0,3.3,NA
2011,"Ellington School District","Eligible For Lunch",75,12.5,0,12.5,NA
2011,"Ellington School District","Not Eligible For Lunch",95.4,1.7,0,2.9,NA
2011,"Ellington School District","Special Education",94.1,5.9,0,0,NA
2011,"Ellington School District","Non-Special Education",94.5,1.8,0,3.6,NA
2011,"Enfield School District","Hispanic",54.2,12.5,0,33.3,NA
2011,"Enfield School District","Non-Hispanic",82.6,8.6,0,8.8,NA
2011,"Enfield School District","American Indian",NA,NA,NA,NA,NA
2011,"Enfield School District","Asian",100,0,0,0,NA
2011,"Enfield School District","Black",73.3,10,0,16.7,NA
2011,"Enfield School District","White",82.9,8.6,0,8.6,NA
2011,"Enfield School District","Male",77.5,12.3,0,10.1,NA
2011,"Enfield School District","Female",85.5,4.8,0,9.6,NA
2011,"Enfield School District","ELL",NA,NA,NA,NA,NA
2011,"Enfield School District","Non-ELL",81.2,8.8,0,10,NA
2011,"Enfield School District","Eligible For Lunch",61.5,12.5,0,26,NA
2011,"Enfield School District","Not Eligible For Lunch",85.8,7.9,0,6.3,NA
2011,"Enfield School District","Special Education",53.7,27.8,0,18.5,NA
2011,"Enfield School District","Non-Special Education",84.5,6.6,0,8.9,NA
2011,"Farmington School District","Hispanic",62.5,12.5,0,25,NA
2011,"Farmington School District","Non-Hispanic",95.5,0.9,0,3.6,NA
2011,"Farmington School District","Asian",100,0,0,0,NA
2011,"Farmington School District","Black",77.3,0,0,22.7,NA
2011,"Farmington School District","White",96.5,1,0,2.4,NA
2011,"Farmington School District","Male",93.6,2.3,0,4.1,NA
2011,"Farmington School District","Female",95.8,0,0,4.2,NA
2011,"Farmington School District","ELL",NA,NA,NA,NA,NA
2011,"Farmington School District","Non-ELL",95.2,0.9,0,3.9,NA
2011,"Farmington School District","Eligible For Lunch",73.1,3.8,0,23.1,NA
2011,"Farmington School District","Not Eligible For Lunch",96.5,1,0,2.6,NA
2011,"Farmington School District","Special Education",90,10,0,0,NA
2011,"Farmington School District","Non-Special Education",95.1,0.3,0,4.5,NA
2011,"Glastonbury School District","Hispanic",100,0,0,0,NA
2011,"Glastonbury School District","Non-Hispanic",96.3,2.1,0.2,1.5,NA
2011,"Glastonbury School District","American Indian",NA,NA,NA,NA,NA
2011,"Glastonbury School District","Asian",97.9,0,0,2.1,NA
2011,"Glastonbury School District","Black",91.3,4.3,0,4.3,NA
2011,"Glastonbury School District","White",96.3,2.2,0.2,1.3,NA
2011,"Glastonbury School District","Male",96.6,1.1,0.4,1.9,NA
2011,"Glastonbury School District","Female",96.1,2.8,0,1.1,NA
2011,"Glastonbury School District","ELL",NA,NA,NA,NA,NA
2011,"Glastonbury School District","Non-ELL",96.4,2,0.2,1.5,NA
2011,"Glastonbury School District","Eligible For Lunch",88.9,3.7,0,7.4,NA
2011,"Glastonbury School District","Not Eligible For Lunch",96.8,1.9,0.2,1.1,NA
2011,"Glastonbury School District","Special Education",80.3,14.1,1.4,4.2,NA
2011,"Glastonbury School District","Non-Special Education",98.8,0.2,0,1,NA
2011,"Granby School District","Hispanic",NA,NA,NA,NA,NA
2011,"Granby School District","Non-Hispanic",96.9,2.1,0,1,NA
2011,"Granby School District","American Indian",NA,NA,NA,NA,NA
2011,"Granby School District","Asian",NA,NA,NA,NA,NA
2011,"Granby School District","Black",NA,NA,NA,NA,NA
2011,"Granby School District","White",97.3,2.2,0,0.5,NA
2011,"Granby School District","Male",96.2,2.9,0,1,NA
2011,"Granby School District","Female",97.8,1.1,0,1.1,NA
2011,"Granby School District","Non-ELL",96.9,2.1,0,1,NA
2011,"Granby School District","Eligible For Lunch",83.3,0,0,16.7,NA
2011,"Granby School District","Not Eligible For Lunch",97.3,2.1,0,0.5,NA
2011,"Granby School District","Special Education",92.3,7.7,0,0,NA
2011,"Granby School District","Non-Special Education",97.2,1.7,0,1.1,NA
2011,"Hartford School District","Hispanic",53.4,13.8,0.1,32.7,NA
2011,"Hartford School District","Non-Hispanic",72.7,9.1,0,18.2,NA
2011,"Hartford School District","American Indian",NA,NA,NA,NA,NA
2011,"Hartford School District","Asian",69.7,21.2,0,9.1,NA
2011,"Hartford School District","Black",70.7,9.5,0,19.8,NA
2011,"Hartford School District","White",86.8,3.5,0,9.6,NA
2011,"Hartford School District","Male",60.1,13.7,0.1,26.1,NA
2011,"Hartford School District","Female",66.4,9.1,0,24.6,NA
2011,"Hartford School District","ELL",47.1,13.6,0.4,38.9,NA
2011,"Hartford School District","Non-ELL",66.3,11,0,22.7,NA
2011,"Hartford School District","Eligible For Lunch",60.8,12,0.1,27.1,NA
2011,"Hartford School District","Not Eligible For Lunch",84.2,6.1,0,9.7,NA
2011,"Hartford School District","Special Education",43.8,21.4,0.4,34.4,NA
2011,"Hartford School District","Non-Special Education",67.2,9.3,0,23.4,NA
2011,"Manchester School District","Hispanic",56.1,13.2,0,30.7,NA
2011,"Manchester School District","Non-Hispanic",75.2,10.7,0,14,NA
2011,"Manchester School District","Asian",91.2,5.9,0,2.9,NA
2011,"Manchester School District","Black",69.7,12.1,0,18.2,NA
2011,"Manchester School District","White",75.3,10.8,0,13.9,NA
2011,"Manchester School District","Male",69.9,13.9,0,16.2,NA
2011,"Manchester School District","Female",72.4,8.7,0,18.9,NA
2011,"Manchester School District","ELL",69,10.3,0,20.7,NA
2011,"Manchester School District","Non-ELL",71.3,11.3,0,17.4,NA
2011,"Manchester School District","Eligible For Lunch",55.1,14.8,0,30.1,NA
2011,"Manchester School District","Not Eligible For Lunch",80.5,9.2,0,10.4,NA
2011,"Manchester School District","Special Education",49.4,26.6,0,24.1,NA
2011,"Manchester School District","Non-Special Education",74.9,8.6,0,16.5,NA
2011,"Newington School District","Hispanic",75.9,17.2,0,6.9,NA
2011,"Newington School District","Non-Hispanic",84.4,9.4,0,6.3,NA
2011,"Newington School District","Asian",92.3,0,0,7.7,NA
2011,"Newington School District","Black",70.4,25.9,0,3.7,NA
2011,"Newington School District","White",84.9,8.8,0,6.3,NA
2011,"Newington School District","Male",77.4,15.4,0,7.2,NA
2011,"Newington School District","Female",90.2,4.4,0,5.4,NA
2011,"Newington School District","ELL",66.7,0,0,33.3,NA
2011,"Newington School District","Non-ELL",84,10.1,0,5.9,NA
2011,"Newington School District","Eligible For Lunch",70.1,17.9,0,11.9,NA
2011,"Newington School District","Not Eligible For Lunch",86.4,8.4,0,5.2,NA
2011,"Newington School District","Special Education",47.5,40,0,12.5,NA
2011,"Newington School District","Non-Special Education",87.7,6.7,0,5.6,NA
2011,"Rocky Hill School District","Hispanic",62.5,12.5,0,25,NA
2011,"Rocky Hill School District","Non-Hispanic",92.3,1.2,0,6.5,NA
2011,"Rocky Hill School District","Asian",100,0,0,0,NA
2011,"Rocky Hill School District","Black",71.4,0,0,28.6,NA
2011,"Rocky Hill School District","White",92.9,1.3,0,5.8,NA
2011,"Rocky Hill School District","Male",90.2,1.2,0,8.5,NA
2011,"Rocky Hill School District","Female",91.6,2.1,0,6.3,NA
2011,"Rocky Hill School District","ELL",NA,NA,NA,NA,NA
2011,"Rocky Hill School District","Non-ELL",90.9,1.7,0,7.4,NA
2011,"Rocky Hill School District","Eligible For Lunch",88.9,0,0,11.1,NA
2011,"Rocky Hill School District","Not Eligible For Lunch",91.1,1.8,0,7.1,NA
2011,"Rocky Hill School District","Special Education",87.5,12.5,0,0,NA
2011,"Rocky Hill School District","Non-Special Education",91.1,1.2,0,7.7,NA
2011,"Simsbury School District","Hispanic",83.3,8.3,0,8.3,NA
2011,"Simsbury School District","Non-Hispanic",95.4,2.9,0,1.7,NA
2011,"Simsbury School District","Asian",100,0,0,0,NA
2011,"Simsbury School District","Black",88.2,11.8,0,0,NA
2011,"Simsbury School District","White",95.5,2.5,0,1.9,NA
2011,"Simsbury School District","Male",93.3,5.1,0,1.5,NA
2011,"Simsbury School District","Female",96.9,0.6,0,2.5,NA
2011,"Simsbury School District","ELL",100,0,0,0,NA
2011,"Simsbury School District","Non-ELL",94.8,3.2,0,2,NA
2011,"Simsbury School District","Eligible For Lunch",89.5,5.3,0,5.3,NA
2011,"Simsbury School District","Not Eligible For Lunch",95.3,2.9,0,1.8,NA
2011,"Simsbury School District","Special Education",83.3,6.7,0,10,NA
2011,"Simsbury School District","Non-Special Education",96,2.7,0,1.2,NA
2011,"Somers School District","Hispanic",NA,NA,NA,NA,NA
2011,"Somers School District","Non-Hispanic",94.4,4.2,0,1.4,NA
2011,"Somers School District","Asian",NA,NA,NA,NA,NA
2011,"Somers School District","Black",NA,NA,NA,NA,NA
2011,"Somers School District","White",95,3.6,0,1.4,NA
2011,"Somers School District","Male",94.6,5.4,0,0,NA
2011,"Somers School District","Female",94.4,2.8,0,2.8,NA
2011,"Somers School District","Non-ELL",94.5,4.1,0,1.4,NA
2011,"Somers School District","Eligible For Lunch",66.7,33.3,0,0,NA
2011,"Somers School District","Not Eligible For Lunch",95.7,2.9,0,1.4,NA
2011,"Somers School District","Special Education",78.6,14.3,0,7.1,NA
2011,"Somers School District","Non-Special Education",96.2,3.1,0,0.8,NA
2011,"South Windsor School District","Hispanic",68,8,0,24,NA
2011,"South Windsor School District","Non-Hispanic",92.3,3.5,0,4.3,NA
2011,"South Windsor School District","Asian",90,3.3,0,6.7,NA
2011,"South Windsor School District","Black",90.5,9.5,0,0,NA
2011,"South Windsor School District","White",92.6,3.2,0,4.3,NA
2011,"South Windsor School District","Male",87,5.9,0,7.1,NA
2011,"South Windsor School District","Female",95.7,1.1,0,3.2,NA
2011,"South Windsor School District","ELL",100,0,0,0,NA
2011,"South Windsor School District","Non-ELL",90.7,3.8,0,5.5,NA
2011,"South Windsor School District","Eligible For Lunch",63,14.8,0,22.2,NA
2011,"South Windsor School District","Not Eligible For Lunch",92.7,3,0,4.3,NA
2011,"South Windsor School District","Special Education",72.3,14.9,0,12.8,NA
2011,"South Windsor School District","Non-Special Education",93.1,2.4,0,4.5,NA
2011,"Stafford School District","Hispanic",NA,NA,NA,NA,NA
2011,"Stafford School District","Non-Hispanic",77.1,12.2,0,10.7,NA
2011,"Stafford School District","Asian",83.3,0,0,16.7,NA
2011,"Stafford School District","Black",NA,NA,NA,NA,NA
2011,"Stafford School District","White",77,12.3,0,10.7,NA
2011,"Stafford School District","Male",67.6,14.7,0,17.6,NA
2011,"Stafford School District","Female",83.6,9,0,7.5,NA
2011,"Stafford School District","ELL",NA,NA,NA,NA,NA
2011,"Stafford School District","Non-ELL",75.4,11.9,0,12.7,NA
2011,"Stafford School District","Eligible For Lunch",65.2,13,0,21.7,NA
2011,"Stafford School District","Not Eligible For Lunch",77.7,11.6,0,10.7,NA
2011,"Stafford School District","Special Education",35.7,35.7,0,28.6,NA
2011,"Stafford School District","Non-Special Education",80.2,9.1,0,10.7,NA
2011,"Suffield School District","Hispanic",NA,NA,NA,NA,NA
2011,"Suffield School District","Non-Hispanic",94.8,4.2,0,0.9,NA
2011,"Suffield School District","Asian",NA,NA,NA,NA,NA
2011,"Suffield School District","Black",NA,NA,NA,NA,NA
2011,"Suffield School District","White",94.6,4.4,0,1,NA
2011,"Suffield School District","Male",90.3,7.5,0,2.2,NA
2011,"Suffield School District","Female",98.4,1.6,0,0,NA
2011,"Suffield School District","Non-ELL",94.9,4.2,0,0.9,NA
2011,"Suffield School District","Eligible For Lunch",72.7,18.2,0,9.1,NA
2011,"Suffield School District","Not Eligible For Lunch",96.1,3.4,0,0.5,NA
2011,"Suffield School District","Special Education",92.3,7.7,0,0,NA
2011,"Suffield School District","Non-Special Education",95,4,0,1,NA
2011,"Tolland School District","Hispanic",NA,NA,NA,NA,NA
2011,"Tolland School District","Non-Hispanic",92.4,7.2,0,0.4,NA
2011,"Tolland School District","Asian",NA,NA,NA,NA,NA
2011,"Tolland School District","Black",NA,NA,NA,NA,NA
2011,"Tolland School District","White",92.2,7.4,0,0.5,NA
2011,"Tolland School District","Male",89.5,10.5,0,0,NA
2011,"Tolland School District","Female",95.5,3.6,0,0.9,NA
2011,"Tolland School District","Non-ELL",92.4,7.1,0,0.4,NA
2011,"Tolland School District","Eligible For Lunch",NA,NA,NA,NA,NA
2011,"Tolland School District","Not Eligible For Lunch",92.3,7.2,0,0.5,NA
2011,"Tolland School District","Special Education",75,25,0,0,NA
2011,"Tolland School District","Non-Special Education",93.8,5.8,0,0.5,NA
2011,"Vernon School District","Hispanic",76.2,14.3,0,9.5,NA
2011,"Vernon School District","Non-Hispanic",82.2,5.9,0,11.9,NA
2011,"Vernon School District","American Indian",NA,NA,NA,NA,NA
2011,"Vernon School District","Asian",86.7,6.7,0,6.7,NA
2011,"Vernon School District","Black",75.8,9.1,0,15.2,NA
2011,"Vernon School District","White",83,5,0,11.9,NA
2011,"Vernon School District","Male",81.3,9.7,0,9,NA
2011,"Vernon School District","Female",82.1,3.8,0,14.1,NA
2011,"Vernon School District","ELL",87.5,0,0,12.5,NA
2011,"Vernon School District","Non-ELL",81.6,6.7,0,11.7,NA
2011,"Vernon School District","Eligible For Lunch",62.7,11.9,0,25.4,NA
2011,"Vernon School District","Not Eligible For Lunch",87.4,4.9,0,7.6,NA
2011,"Vernon School District","Special Education",56.7,26.7,0,16.7,NA
2011,"Vernon School District","Non-Special Education",84.6,4.2,0,11.2,NA
2011,"West Hartford School District","Hispanic",77.5,10,0,12.5,NA
2011,"West Hartford School District","Non-Hispanic",92.5,3.9,0,3.5,NA
2011,"West Hartford School District","American Indian",NA,NA,NA,NA,NA
2011,"West Hartford School District","Asian",91.9,6.5,0,1.6,NA
2011,"West Hartford School District","Black",78.5,7.5,0,14,NA
2011,"West Hartford School District","White",95.1,3.1,0,1.8,NA
2011,"West Hartford School District","Male",90.2,5.7,0,4,NA
2011,"West Hartford School District","Female",90.5,3.9,0,5.6,NA
2011,"West Hartford School District","ELL",80.6,11.1,0,8.3,NA
2011,"West Hartford School District","Non-ELL",90.8,4.5,0,4.7,NA
2011,"West Hartford School District","Eligible For Lunch",73.8,10,0,16.2,NA
2011,"West Hartford School District","Not Eligible For Lunch",93.4,3.9,0,2.7,NA
2011,"West Hartford School District","Special Education",67.6,24.5,0,7.8,NA
2011,"West Hartford School District","Non-Special Education",93.5,2.1,0,4.4,NA
2011,"Wethersfield School District","Hispanic",71.8,12.8,0,15.4,NA
2011,"Wethersfield School District","Non-Hispanic",94,2.6,0,3.4,NA
2011,"Wethersfield School District","American Indian",NA,NA,NA,NA,NA
2011,"Wethersfield School District","Asian",100,0,0,0,NA
2011,"Wethersfield School District","Black",100,0,0,0,NA
2011,"Wethersfield School District","White",93.2,3,0,3.8,NA
2011,"Wethersfield School District","Male",90.1,5.3,0,4.6,NA
2011,"Wethersfield School District","Female",92.2,2.6,0,5.2,NA
2011,"Wethersfield School District","ELL",90.9,0,0,9.1,NA
2011,"Wethersfield School District","Non-ELL",91.2,4.1,0,4.8,NA
2011,"Wethersfield School District","Eligible For Lunch",76.9,12.8,0,10.3,NA
2011,"Wethersfield School District","Not Eligible For Lunch",93.2,2.6,0,4.1,NA
2011,"Wethersfield School District","Special Education",58.3,29.2,0,12.5,NA
2011,"Wethersfield School District","Non-Special Education",94,1.8,0,4.3,NA
2011,"Windsor School District","Hispanic",75,7.5,0,17.5,NA
2011,"Windsor School District","Non-Hispanic",84,8,0,8,NA
2011,"Windsor School District","American Indian",NA,NA,NA,NA,NA
2011,"Windsor School District","Asian",84.6,7.7,0,7.7,NA
2011,"Windsor School District","Black",79.8,10.6,0,9.6,NA
2011,"Windsor School District","White",90.9,3.6,0,5.5,NA
2011,"Windsor School District","Male",81.3,7.8,0,10.9,NA
2011,"Windsor School District","Female",85.1,8.1,0,6.8,NA
2011,"Windsor School District","ELL",NA,NA,NA,NA,NA
2011,"Windsor School District","Non-ELL",83.1,8,0,8.9,NA
2011,"Windsor School District","Eligible For Lunch",75.3,11.3,0,13.4,NA
2011,"Windsor School District","Not Eligible For Lunch",85.9,6.6,0,7.4,NA
2011,"Windsor School District","Special Education",64.4,26.7,0,8.9,NA
2011,"Windsor School District","Non-Special Education",85.7,5.2,0,9.1,NA
2011,"Windsor Locks School District","Hispanic",NA,NA,NA,NA,NA
2011,"Windsor Locks School District","Non-Hispanic",84.6,9.2,0,6.2,NA
2011,"Windsor Locks School District","Asian",100,0,0,0,NA
2011,"Windsor Locks School District","Black",72.2,11.1,0,16.7,NA
2011,"Windsor Locks School District","White",85.4,9.7,0,4.9,NA
2011,"Windsor Locks School District","Male",83.3,6.9,0,9.7,NA
2011,"Windsor Locks School District","Female",87.3,11.1,0,1.6,NA
2011,"Windsor Locks School District","ELL",NA,NA,NA,NA,NA
2011,"Windsor Locks School District","Non-ELL",84.7,9.2,0,6.1,NA
2011,"Windsor Locks School District","Eligible For Lunch",70.8,8.3,0,20.8,NA
2011,"Windsor Locks School District","Not Eligible For Lunch",88.3,9,0,2.7,NA
2011,"Windsor Locks School District","Special Education",61.5,38.5,0,0,NA
2011,"Windsor Locks School District","Non-Special Education",87.7,5.7,0,6.6,NA
2011,"Regional School District 08","Hispanic",66.7,0,0,33.3,NA
2011,"Regional School District 08","Non-Hispanic",85.1,8,0,6.9,NA
2011,"Regional School District 08","Asian",NA,NA,NA,NA,NA
2011,"Regional School District 08","White",84.8,8.2,0,7,NA
2011,"Regional School District 08","Male",80.6,9.4,0,10.1,NA
2011,"Regional School District 08","Female",89.1,6.3,0,4.7,NA
2011,"Regional School District 08","ELL",NA,NA,NA,NA,NA
2011,"Regional School District 08","Non-ELL",85,7.5,0,7.5,NA
2011,"Regional School District 08","Eligible For Lunch",45.5,18.2,0,36.4,NA
2011,"Regional School District 08","Not Eligible For Lunch",86.3,7.4,0,6.3,NA
2011,"Regional School District 08","Special Education",58.6,27.6,0,13.8,NA
2011,"Regional School District 08","Non-Special Education",87.8,5.5,0,6.7,NA
2011,"Capitol Region Education Council","Hispanic",68.9,9.8,0,21.3,NA
2011,"Capitol Region Education Council","Non-Hispanic",87.4,4.2,0,8.4,NA
2011,"Capitol Region Education Council","Asian",69.2,7.7,0,23.1,NA
2011,"Capitol Region Education Council","Black",87.1,4.5,0,8.3,NA
2011,"Capitol Region Education Council","White",90.3,3.2,0,6.5,NA
2011,"Capitol Region Education Council","Male",80.3,9.4,0,10.2,NA
2011,"Capitol Region Education Council","Female",86,2.3,0,11.6,NA
2011,"Capitol Region Education Council","ELL",66.7,0,0,33.3,NA
2011,"Capitol Region Education Council","Non-ELL",84,5.5,0,10.6,NA
2011,"Capitol Region Education Council","Eligible For Lunch",77.2,9.8,0,13,NA
2011,"Capitol Region Education Council","Not Eligible For Lunch",88.1,2.3,0,9.7,NA
2011,"Capitol Region Education Council","Special Education",63.6,27.3,0,9.1,NA
2011,"Capitol Region Education Council","Non-Special Education",85.2,3.6,0,11.2,NA
